Replicate,x1,x2,x3,x4,z1,z2,T1,T2,T3
1,0.150,50.000,33.000,0.020,1,A,5.00,47.00,15.00
2,0.150,50.000,33.000,0.020,1,A,6.00,50.00,14.00
3,0.150,50.000,33.000,0.020,1,A,5.00,54.00,14.00
4,0.150,50.000,33.000,0.020,1,A,5.00,46.00,16.00
5,0.150,50.000,33.000,0.020,1,A,6.00,55.00,13.00
6,0.150,50.000,33.000,0.020,1,A,5.00,49.00,15.00
7,0.150,50.000,33.000,0.020,1,A,5.00,56.00,13.00
8,0.150,50.000,33.000,0.020,1,A,5.00,50.00,16.00
9,0.150,50.000,33.000,0.020,1,A,4.00,46.00,17.00
10,0.150,50.000,33.000,0.020,1,A,5.00,53.00,15.00
1,0.150,50.000,33.000,0.020,2,A,7.00,56.00,13.00
2,0.150,50.000,33.000,0.020,2,A,6.00,52.00,14.00
3,0.150,50.000,33.000,0.020,2,A,5.00,48.00,16.00
4,0.150,50.000,33.000,0.020,2,A,5.00,59.00,15.00
5,0.150,50.000,33.000,0.020,2,A,6.00,55.00,14.00
6,0.150,50.000,33.000,0.020,2,A,6.00,56.00,14.00
7,0.150,50.000,33.000,0.020,2,A,6.00,48.00,14.00
8,0.150,50.000,33.000,0.020,2,A,5.00,47.00,16.00
9,0.150,50.000,33.000,0.020,2,A,5.00,48.00,15.00
10,0.150,50.000,33.000,0.020,2,A,6.00,56.00,14.00
1,0.150,50.000,33.000,0.020,1,B,4.00,46.00,16.00
2,0.150,50.000,33.000,0.020,1,B,4.00,40.00,16.00
3,0.150,50.000,33.000,0.020,1,B,4.00,41.00,17.00
4,0.150,50.000,33.000,0.020,1,B,3.00,39.00,17.00
5,0.150,50.000,33.000,0.020,1,B,3.00,50.00,16.00
6,0.150,50.000,33.000,0.020,1,B,4.00,43.00,16.00
7,0.150,50.000,33.000,0.020,1,B,4.00,41.00,16.00
8,0.150,50.000,33.000,0.020,1,B,3.00,42.00,17.00
9,0.150,50.000,33.000,0.020,1,B,4.00,46.00,15.00
10,0.150,50.000,33.000,0.020,1,B,4.00,50.00,16.00
1,0.150,50.000,33.000,0.020,2,B,4.00,47.00,17.00
2,0.150,50.000,33.000,0.020,2,B,3.00,41.00,17.00
3,0.150,50.000,33.000,0.020,2,B,4.00,43.00,16.00
4,0.150,50.000,33.000,0.020,2,B,4.00,51.00,15.00
5,0.150,50.000,33.000,0.020,2,B,4.00,38.00,16.00
6,0.150,50.000,33.000,0.020,2,B,3.00,50.00,16.00
7,0.150,50.000,33.000,0.020,2,B,3.00,46.00,18.00
8,0.150,50.000,33.000,0.020,2,B,3.00,46.00,16.00
9,0.150,50.000,33.000,0.020,2,B,3.00,48.00,19.00
10,0.150,50.000,33.000,0.020,2,B,3.00,43.00,17.00
1,0.200,50.000,33.000,0.020,1,A,4.00,40.00,17.00
2,0.200,50.000,33.000,0.020,1,A,4.00,41.00,17.00
3,0.200,50.000,33.000,0.020,1,A,4.00,47.00,16.00
4,0.200,50.000,33.000,0.020,1,A,3.00,44.00,18.00
5,0.200,50.000,33.000,0.020,1,A,3.00,45.00,17.00
6,0.200,50.000,33.000,0.020,1,A,4.00,53.00,15.00
